Produce_Type,Temperature_C,Humidity_Percent,Days_Since_Harvest,Remaining_Shelf_Life_Days
Spinach,0,96,1,12
Onion,20,55,16,14
Carrot,8,93,19,16
Onion,29,58,5,10
Tomato,28,55,8,2
Brinjal,18,63,3,4
Tomato,21,52,17,1
Spinach,2,97,14,1
Capsicum,13,83,2,6
Spinach,1,100,5,5
Cauliflower,10,94,12,8
Potato,12,46,2,54
Spinach,4,97,19,1
Potato,12,64,19,3
Onion,18,49,9,19
Tomato,16,53,1,4
Brinjal,11,72,13,1
Onion,22,65,18,2
Carrot,9,85,16,26
Cauliflower,10,88,5,9
Onion,23,46,3,9
Onion,19,59,14,21
Spinach,3,95,18,1
Cauliflower,9,93,14,1
Brinjal,11,74,9,1
Potato,19,46,19,1
Potato,15,67,13,17
Tomato,25,55,14,1
Cauliflower,1,93,11,17
Tomato,26,57,8,1
Onion,30,59,19,6
Tomato,18,60,2,2
Onion,16,60,19,9
Onion,26,49,13,16
Tomato,29,78,16,1
Cucumber,14,93,15,1
Cauliflower,0,85,3,9
Potato,12,56,18,40
Spinach,5,97,17,1
Cabbage,5,88,15,17
Cauliflower,4,87,20,1
Onion,30,67,3,10
Spinach,2,99,9,1
Cucumber,10,88,13,1
Cucumber,11,93,14,1
Carrot,4,89,3,40
Cabbage,9,85,7,18
Cucumber,19,94,11,1
Cabbage,2,88,4,14
Spinach,5,93,1,13
Carrot,0,86,11,49
Cabbage,1,92,6,33
Cauliflower,7,87,10,2
Cabbage,4,90,4,17
Spinach,3,97,3,7
Cauliflower,0,87,13,1
Brinjal,12,79,15,1
Potato,15,62,2,48
Spinach,3,96,17,1
Carrot,0,91,10,41
Potato,12,60,9,33
Cauliflower,4,88,2,23
Carrot,5,90,13,31
Capsicum,8,71,14,1
Cabbage,0,91,18,8
Cabbage,5,88,16,8
Cucumber,13,83,6,5
Carrot,7,85,5,16
Brinjal,23,70,17,1
Carrot,5,90,16,19
Onion,27,51,14,16
Cucumber,18,94,7,1
Tomato,19,60,11,1
Capsicum,15,80,17,1
Cabbage,4,88,14,20
Carrot,5,90,11,43
Tomato,17,52,5,2
Cauliflower,7,89,3,15
Onion,26,69,6,10
Cauliflower,0,88,12,3
Brinjal,19,68,14,1
Potato,11,59,15,3
Onion,19,59,5,22
Capsicum,16,70,2,12
Brinjal,25,79,20,1
Capsicum,10,75,8,12
Spinach,3,93,13,1
Spinach,4,91,12,3
Onion,29,49,17,8
Cabbage,10,87,1,27
Carrot,10,89,13,45
Carrot,1,88,12,17
Cabbage,5,92,3,34
Capsicum,10,72,13,3
Cauliflower,9,91,5,24
Carrot,5,92,1,43
Tomato,27,50,3,4
Brinjal,18,78,19,1
Potato,13,45,5,18
Spinach,0,95,4,3
Cauliflower,6,92,20,1
Cauliflower,4,95,16,1
Cabbage,3,95,10,36
Spinach,4,98,20,1
Cucumber,18,93,5,5
Potato,18,66,17,24
Onion,26,53,3,35
Onion,17,57,10,20
Cabbage,0,90,3,18
Cabbage,5,91,20,5
Cauliflower,2,89,18,8
Brinjal,25,62,8,6
Brinjal,17,74,11,1
Spinach,5,96,9,3
Cauliflower,4,92,10,3
Cucumber,18,95,6,7
Onion,19,64,12,1
Cabbage,9,87,19,1
Spinach,5,93,20,1
Capsicum,15,71,16,1
Potato,14,52,12,42
Carrot,0,90,5,30
Cauliflower,6,86,9,3
Cabbage,7,86,12,24
Carrot,4,85,6,33
Tomato,15,54,11,1
Cauliflower,9,90,11,5
Tomato,20,73,11,1
Onion,19,58,3,9
Capsicum,14,66,12,4
Cabbage,9,94,1,14
Cabbage,8,92,6,42
Spinach,2,93,15,1
Potato,11,46,9,17
Cauliflower,6,89,14,13
Potato,15,68,6,27
Capsicum,16,67,11,1
Tomato,19,79,6,1
Onion,22,59,15,21
Brinjal,11,78,3,12
Spinach,2,91,5,8
Potato,20,55,7,26
Onion,24,58,14,7
Carrot,5,90,7,15
Carrot,1,87,11,38
Spinach,3,97,7,4
Potato,16,69,6,54
Brinjal,25,60,17,1
Cauliflower,1,88,7,11
Tomato,26,75,18,1
Tomato,22,73,7,1
Carrot,10,85,13,12
Carrot,3,87,4,17
Spinach,5,93,4,7
Cauliflower,3,86,6,5
Tomato,18,62,7,1
Cauliflower,7,86,20,1
Potato,16,59,5,47
Cabbage,8,93,11,39
Spinach,0,100,16,1
Carrot,6,93,19,18
Cucumber,10,95,1,11
Potato,13,56,4,55
Onion,18,70,8,6
Cucumber,20,87,9,1
Cabbage,5,94,6,39
Onion,28,63,17,11
Carrot,1,89,2,40
Spinach,3,99,16,1
Cauliflower,7,85,8,22
Capsicum,15,76,16,1
Cucumber,12,85,18,1
Spinach,5,95,11,3
Cabbage,0,91,8,24
Carrot,0,91,18,36
Capsicum,7,67,18,1
Capsicum,11,73,11,1
Spinach,3,93,11,1
Spinach,4,93,11,1
Spinach,4,98,19,1
Spinach,1,96,16,1
Cauliflower,2,90,5,23
Carrot,4,94,9,46
Potato,18,53,13,15
Onion,24,47,5,30
Carrot,1,91,10,17
Cucumber,15,84,15,1
Cauliflower,2,93,14,15
Cabbage,7,88,14,9
Cauliflower,3,89,5,25
Carrot,5,91,11,17
Carrot,2,95,17,21
Carrot,10,95,15,24
Capsicum,19,72,10,1
Cucumber,15,95,7,3
Onion,15,47,6,28
Brinjal,22,76,13,1
Cauliflower,9,93,6,5
Carrot,10,91,2,30
Cauliflower,2,93,9,2
Brinjal,19,76,18,1
Brinjal,21,62,13,1
Tomato,27,57,12,1
Cauliflower,8,85,2,24
Cabbage,4,86,18,2
Spinach,2,92,19,1
Potato,18,41,1,16
Tomato,27,79,8,1
Carrot,8,92,7,48
Potato,16,52,13,37
Onion,29,44,20,8
Cabbage,10,87,5,24
Brinjal,16,68,19,1
Brinjal,20,76,14,1
Potato,18,42,9,9
Cabbage,4,87,1,37
Carrot,5,92,18,38
Carrot,3,90,20,29
Cauliflower,3,91,6,5
Spinach,5,99,11,1
Capsicum,17,73,15,4
Onion,22,59,11,1
Capsicum,19,74,14,1
Cauliflower,3,92,1,13
Cabbage,8,88,18,1
Capsicum,16,76,10,6
Spinach,4,93,1,5
Capsicum,10,81,10,1
Carrot,8,93,16,16
Carrot,0,90,5,49
Tomato,27,59,7,1
Cucumber,15,90,15,1
Cauliflower,7,92,6,11
Tomato,20,68,12,1
Cauliflower,3,95,2,20
Carrot,8,94,15,5
Cucumber,11,89,1,5
Tomato,30,79,14,1
Cabbage,3,91,12,4
Capsicum,11,81,17,1
Brinjal,16,68,11,1
Spinach,5,97,14,1
Spinach,1,100,2,9
Cucumber,10,83,14,1
Cauliflower,7,88,2,27
Potato,20,61,13,9
Potato,15,45,9,9
Spinach,0,90,3,9
Onion,18,64,14,6
Brinjal,24,79,17,1
Potato,13,42,5,33
Cabbage,5,87,13,25
Capsicum,7,80,8,10
Potato,13,44,17,9
Cauliflower,8,89,15,4
Cauliflower,2,87,3,9
Onion,28,41,18,10
Cucumber,11,83,7,5
Potato,20,50,20,36
Cabbage,9,86,7,8
Tomato,15,68,12,1
Onion,29,47,1,30
Spinach,2,91,18,1
Spinach,3,95,3,10
Onion,23,46,3,33
Tomato,23,67,2,5
Brinjal,11,72,4,5
Capsicum,10,82,7,6
Onion,24,49,15,15
Brinjal,11,62,10,4
Cucumber,14,80,7,2
Cauliflower,10,94,9,18
Cucumber,14,94,13,1
Tomato,17,60,13,1
Cabbage,5,94,11,12
Carrot,0,95,13,47
Potato,11,52,20,32
Cabbage,9,91,13,16
Capsicum,12,73,18,1
Cabbage,5,87,18,1
Spinach,0,94,4,8
Cucumber,16,95,19,1
Potato,10,53,9,7
Tomato,16,73,4,1
Cauliflower,5,88,16,1
Potato,20,68,12,23
Cucumber,10,81,6,7
Potato,20,68,19,33
Onion,26,61,4,12
Onion,15,46,8,4
Cauliflower,4,88,9,4
Cucumber,10,85,18,1
Onion,28,65,4,12
Carrot,4,91,7,53
Tomato,18,54,5,2
Carrot,3,95,2,47
Cabbage,2,92,15,25
Cauliflower,10,91,13,1
Tomato,26,53,19,1
Capsicum,9,77,2,10
Cauliflower,9,94,9,12
Brinjal,22,75,3,12
Carrot,10,92,13,46
Potato,12,52,13,26
Tomato,26,70,4,4
Cauliflower,4,93,15,13
Capsicum,13,71,9,1
Cauliflower,8,91,14,13
Spinach,4,93,1,11
Onion,24,47,12,4
Cauliflower,5,87,18,3
Carrot,8,87,16,32
Onion,21,67,8,13
Cucumber,12,83,1,9
Cauliflower,5,85,15,1
Cucumber,17,91,3,6
Cauliflower,10,93,13,3
Spinach,1,94,15,1
Carrot,3,91,20,24
Spinach,3,90,8,3
Spinach,0,90,5,1
Cauliflower,7,90,8,4
Cucumber,15,93,14,1
Cauliflower,2,91,7,17
Carrot,5,89,20,1
Capsicum,15,77,8,1
Cucumber,18,91,5,1
Cucumber,15,87,7,1
Cabbage,4,95,4,33
Cucumber,11,86,15,1
Cauliflower,9,95,3,12
Tomato,18,60,13,1
Onion,20,66,10,19
Brinjal,23,61,1,6
Potato,18,58,2,58
Onion,25,44,14,15
Spinach,3,91,2,4
Onion,28,55,14,1
Carrot,5,85,15,38
Cauliflower,3,85,6,12
Cabbage,9,93,2,40
Capsicum,12,83,11,5
Cabbage,4,86,18,12
Spinach,5,94,17,1
Spinach,0,97,15,1
Cabbage,0,88,4,38
Cauliflower,10,91,2,12
Capsicum,7,66,16,4
Carrot,7,85,19,39
Spinach,0,91,8,3
Capsicum,18,65,7,10
Cauliflower,0,90,1,25
Carrot,2,86,1,19
Cabbage,7,91,17,18
Carrot,2,93,10,22
Cabbage,8,91,16,33
Onion,24,68,3,32
Brinjal,17,70,20,1
Cabbage,7,89,11,26
Brinjal,17,66,10,5
Spinach,5,91,13,1
Capsicum,11,83,20,1
Potato,15,51,4,33
Carrot,10,92,19,29
Cabbage,7,93,16,33
Onion,28,69,8,19
Capsicum,15,83,9,1
Cucumber,10,85,18,1
Capsicum,18,68,4,5
Brinjal,12,63,5,1
Onion,24,60,19,1
Carrot,7,85,3,53
Brinjal,21,80,10,4
Carrot,10,88,14,33
Carrot,4,91,2,40
Spinach,1,93,10,4
Potato,12,58,8,24
Carrot,1,89,14,25
Potato,10,44,15,34
Brinjal,16,61,11,1
Cabbage,5,93,12,32
Spinach,4,91,9,3
Carrot,4,91,15,44
Cauliflower,9,87,14,6
Cabbage,7,89,11,33
Onion,25,42,2,18
Potato,18,68,1,29
Potato,12,55,20,37
Cabbage,1,86,3,40
Cauliflower,6,88,17,1
Carrot,2,85,6,54
Cucumber,17,81,19,1
Tomato,22,62,3,2
Capsicum,17,80,19,1
Cauliflower,0,87,17,13
Cauliflower,7,91,14,1
Spinach,2,98,4,8
Cucumber,11,80,20,1
Cabbage,6,86,3,29
Brinjal,16,74,3,11
Cabbage,9,87,8,8
Carrot,5,92,18,25
Capsicum,19,66,15,1
Capsicum,15,72,15,1
Carrot,0,91,18,24
Brinjal,20,65,17,1
Potato,17,55,6,34
Spinach,3,94,13,1
Potato,13,66,15,35
Capsicum,10,69,12,2
Cabbage,9,90,9,39
Brinjal,20,73,5,6
Tomato,22,68,10,1
Cabbage,3,92,20,28
Cabbage,8,85,4,11
Spinach,4,96,5,7
Potato,14,67,8,22
Tomato,19,77,4,4
Cucumber,20,83,11,2
Onion,29,40,7,30
Onion,26,69,19,1
Cauliflower,3,95,18,1
Cabbage,6,89,9,17
Tomato,25,51,7,1
Cabbage,0,89,20,27
Cabbage,4,88,6,43
Brinjal,20,77,15,1
Cauliflower,7,95,13,1
Potato,20,61,1,23
Onion,17,68,17,1
Spinach,3,94,12,1
Carrot,6,93,11,15
Brinjal,16,73,4,8
Onion,26,44,13,23
Potato,15,56,4,36
Onion,18,62,17,8
Tomato,24,65,5,1
Spinach,5,92,3,4
Carrot,8,90,14,27
Spinach,3,90,19,1
Onion,26,60,7,15
Brinjal,19,62,18,1
Onion,28,47,15,1
Brinjal,22,61,9,5
Onion,25,52,16,7
Carrot,4,93,2,34
Potato,12,59,1,19
Tomato,24,78,8,1
Spinach,1,91,14,1
Cucumber,14,91,9,5
Cabbage,6,90,17,15
Tomato,28,71,6,1
Brinjal,15,71,2,5
Onion,29,42,13,7
Cabbage,3,93,20,13
Capsicum,20,76,20,1
Tomato,27,63,11,1
Cucumber,18,84,17,1
Tomato,21,60,7,1
Tomato,28,61,17,1
Onion,20,70,6,24
Tomato,28,67,9,1
Spinach,1,90,20,1
Brinjal,18,62,7,1
Potato,17,51,11,46
Tomato,28,68,7,1
Cucumber,15,89,15,1
Capsicum,19,78,17,1
Brinjal,10,63,20,1
Onion,30,69,6,29
Carrot,4,85,18,2
Potato,12,46,5,14
Capsicum,7,82,12,2
Carrot,0,94,11,11
Cauliflower,9,87,10,3
Brinjal,24,80,8,7
Cauliflower,7,93,18,3
Cucumber,15,88,3,2
Potato,10,61,11,16
Cauliflower,1,87,5,19
Spinach,2,92,19,1
Cabbage,9,88,7,24
Cabbage,7,87,14,13
Spinach,5,100,11,1
Spinach,3,95,11,1
Capsicum,14,68,13,1
Cucumber,12,85,8,3
Potato,15,53,11,41
Onion,29,40,16,22
Onion,20,51,16,24
Tomato,17,72,17,1
Spinach,1,94,19,1
Capsicum,7,73,6,3
Cabbage,3,93,10,33
Onion,17,56,15,23
Cabbage,1,90,8,41
Spinach,2,97,20,1
Cucumber,15,84,9,3
Onion,19,53,5,5
Cabbage,8,85,19,20
Cauliflower,4,85,13,17
Capsicum,14,70,12,1
Brinjal,16,63,14,1
Spinach,5,96,15,1
Cauliflower,2,85,12,1
Onion,26,44,6,22
Tomato,29,54,10,1
Carrot,3,89,1,38
Spinach,3,91,11,3
Capsicum,17,76,13,6
Tomato,21,71,7,1
Spinach,0,99,14,1
Brinjal,16,61,8,2
Brinjal,21,70,18,1
Spinach,5,98,17,1
Capsicum,8,81,10,1
Capsicum,12,85,18,1
Potato,13,42,7,52
Cauliflower,0,88,19,1
Brinjal,25,61,1,14
Carrot,7,89,1,48
Cabbage,3,87,13,20
Onion,18,62,20,1
Cauliflower,8,86,2,17
Brinjal,21,75,20,1
Potato,15,42,8,48
Capsicum,17,68,18,1
Carrot,9,92,17,26
Cabbage,10,89,16,31
Capsicum,12,74,7,12
Capsicum,14,84,15,1
Cauliflower,9,95,8,16
Tomato,24,78,19,1
Onion,18,45,19,1
Onion,20,46,13,21
Carrot,2,89,19,35
Onion,18,45,6,31
Onion,21,41,9,1
Brinjal,12,68,1,11
Cucumber,10,91,20,1
Cabbage,6,88,13,10
Onion,17,50,2,11
Carrot,2,87,20,16
Cabbage,7,86,6,30
Capsicum,7,84,10,5
Cauliflower,10,93,6,10
Cauliflower,10,92,17,1
Onion,22,52,3,26
Carrot,3,91,11,30
Carrot,4,87,12,15
Tomato,27,75,8,1
Cauliflower,3,95,15,10
Potato,19,62,18,31
Onion,27,53,20,5
Cabbage,5,85,3,15
Potato,10,62,7,16
Cabbage,10,95,10,38
Capsicum,15,77,16,1
Capsicum,20,76,15,1
Brinjal,21,79,9,3
Onion,29,66,7,33
Tomato,25,71,10,1
Tomato,16,77,13,1
Spinach,5,99,19,1
Spinach,2,94,6,9
Brinjal,10,70,19,1
Cauliflower,7,88,10,16
Capsicum,17,80,2,6
Cauliflower,3,88,15,15
Tomato,17,54,6,1
Potato,10,43,1,15
Cucumber,13,91,18,1
Cauliflower,2,87,2,9
Cucumber,14,80,9,4
Tomato,30,75,5,3
Onion,18,47,5,28
Tomato,25,80,13,1
Cabbage,8,85,5,44
Cucumber,18,92,4,4
Spinach,3,96,2,13
Cucumber,18,85,6,2
Cabbage,4,91,12,21
Tomato,24,50,12,1
Cauliflower,1,89,3,18
Spinach,3,99,15,1
Cauliflower,1,87,8,3
Carrot,6,92,7,35
Capsicum,8,73,11,8
Carrot,6,95,6,37
Cauliflower,8,90,19,1
Brinjal,17,70,9,2
Cauliflower,3,87,9,9
Tomato,23,75,6,1
Spinach,3,98,18,1
Onion,15,47,14,26
Capsicum,12,73,10,5
Capsicum,15,75,15,1
Tomato,25,55,3,4
Spinach,3,93,14,1
Spinach,4,93,18,1
Cucumber,15,81,16,1
Cucumber,20,88,12,1
Spinach,2,100,4,8
Carrot,8,88,7,48
Cucumber,10,80,20,1
Cabbage,8,85,2,34
Tomato,27,80,2,6
Brinjal,10,76,3,6
Cucumber,14,94,11,1
Onion,24,56,15,22
Tomato,22,73,10,1
Spinach,3,100,1,10
Cabbage,1,87,10,17
Cauliflower,10,89,12,3
Onion,19,40,14,6
Capsicum,18,83,13,1
Cauliflower,3,91,4,22
Onion,18,63,2,35
Spinach,5,91,20,1
Tomato,20,52,4,3
Onion,19,65,10,30
Brinjal,23,69,8,3
Capsicum,7,67,13,7
Cucumber,18,86,10,2
Capsicum,11,68,20,1
Potato,16,60,2,50
Potato,18,57,9,16
Spinach,1,96,1,14
Potato,19,64,2,46
Cabbage,5,94,9,20
Potato,12,52,14,31
Onion,24,66,17,23
Cabbage,1,86,4,31
Cabbage,8,85,12,26
Onion,23,56,1,24
Capsicum,17,73,14,1
Tomato,28,70,13,1
Carrot,5,94,5,49
Onion,16,46,12,20
Capsicum,9,81,10,1
Cucumber,19,84,10,1
Tomato,22,78,19,1
Tomato,21,80,20,1
Cabbage,5,95,1,49
Cabbage,8,93,6,11
Potato,10,67,15,32
Capsicum,9,73,5,2
Carrot,10,91,9,11
Capsicum,15,79,8,1
Tomato,28,54,19,1
Onion,24,45,13,24
Cucumber,13,88,15,1
Brinjal,15,69,10,1
Capsicum,18,78,12,5
Cauliflower,10,91,1,16
Potato,10,70,3,41
Capsicum,9,71,14,1
Cucumber,13,95,4,2
Brinjal,13,80,11,1
Carrot,10,87,1,50
Capsicum,14,73,6,1
Spinach,4,100,18,1
Tomato,15,54,18,1
Cabbage,10,85,18,1
Capsicum,7,75,6,6
Brinjal,11,75,13,1
Cucumber,19,88,2,6
Potato,13,50,13,27
Cauliflower,2,92,17,8
Tomato,17,54,15,1
Brinjal,19,64,16,1
Brinjal,25,78,2,7
Cauliflower,9,88,6,12
Spinach,5,96,15,1
Brinjal,14,67,1,9
Cabbage,8,94,6,23
Potato,19,43,3,33
Brinjal,14,60,12,1
Spinach,4,95,9,1
Spinach,1,91,14,1
Carrot,0,85,18,40
Potato,20,41,14,23
Spinach,4,99,5,1
Cabbage,3,89,13,7
Tomato,20,67,14,1
Tomato,24,63,10,1
Cauliflower,8,93,9,1
Tomato,15,74,8,1
Spinach,2,94,1,12
Capsicum,17,77,2,14
Capsicum,10,84,18,1
Cauliflower,7,95,8,15
Cauliflower,1,91,6,6
Onion,17,66,6,24
Potato,16,64,5,14
Spinach,3,92,11,4
Cabbage,0,95,7,21
Carrot,10,86,17,16
Cucumber,19,81,18,1
Cucumber,11,90,19,1
Cauliflower,2,88,18,1
Tomato,20,60,20,1
Cabbage,0,91,17,9
Onion,22,67,10,10
Capsicum,17,69,3,7
Cucumber,20,88,11,1
Carrot,10,92,14,18
Onion,22,57,1,38
Potato,20,60,9,21
Capsicum,15,69,1,18
Brinjal,25,77,8,1
Capsicum,20,82,9,10
Carrot,9,92,7,19
Cauliflower,7,92,14,2
Cucumber,13,91,14,1
Spinach,5,94,20,1
Onion,29,50,11,22
Cucumber,18,88,10,5
Tomato,25,59,12,1
Potato,14,50,15,44
Capsicum,7,84,12,8
Capsicum,13,75,11,2
Cauliflower,2,90,4,10
Spinach,4,99,4,3
Tomato,26,78,12,1
Capsicum,13,83,18,1
Carrot,3,94,11,33
Brinjal,14,80,13,1
Tomato,23,68,16,1
